"Id produit";"Nom";"Référence interne";"Prix";"Prix HT";"Prix barré";"Frais de port";"Ecotaxe";"Monnaie";"Catégorie";"Id catégorie NetAff";"Catégorie marchand";"Url";"Modèle";"Marque";"EAN";"Descriptif";"Garantie";"Disponibilité";"Délais de livraison";"Quantité";"Indicateur de stock";"Indicateur de nouveauté";"Indicateur de promotion";"Indicateur de soldes";"Indicateur de performance";"Url image petite";"Url image moyenne";"Url image grande";"Url de tracking des affichages";"Mots-clés";"Référence constructeur";"Url image marchand"
"7526295142579";"G-String noir en dentelle avec bandes de satin rouge";"BABL743";"9,35";"0,00";"9,35";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542579V3";"";"Baci";"0";"G-String noir en dentelle avec bandes de satin rouge";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/757/photo_4593542579g";"http://img.metaffiliation.com/c/79/26295/757/photo_4593542579g";"http://img.metaffiliation.com/c/79/26295/757/photo_4593542579g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542579V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl743.jpg"
"7526295142581";"G-String gris avec impression argent";"BABL744";"14,60";"0,00";"14,60";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542581V3";"";"Baci";"0";"G-String gris avec impression argent";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/759/photo_4593542581g";"http://img.metaffiliation.com/c/79/26295/759/photo_4593542581g";"http://img.metaffiliation.com/c/79/26295/759/photo_4593542581g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542581V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl744.jpg"
"7526295142583";"Culotte en microfibres noire et dentelle";"BABL755";"12,50";"0,00";"12,50";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542583V3";"";"Baci";"0";"Culotte en microfibres noire et dentelle";"";"";"";"0";"0";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/761/photo_4593542583g";"http://img.metaffiliation.com/c/79/26295/761/photo_4593542583g";"http://img.metaffiliation.com/c/79/26295/761/photo_4593542583g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542583V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl755.jpg"
"7526295142585";"G-String noir avec pendentif arrière";"BABL759";"9,35";"0,00";"9,35";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542585V3";"";"Baci";"0";"G-String noir avec pendentif arrière";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/763/photo_4593542585g";"http://img.metaffiliation.com/c/79/26295/763/photo_4593542585g";"http://img.metaffiliation.com/c/79/26295/763/photo_4593542585g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542585V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl759.jpg"
"7526295142587";"Nuisette avec armatures en tulle noire";"BABL762";"40,85";"0,00";"40,85";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542587V3";"";"Baci";"0";"Nuisette avec armatures en tulle noire";"";"";"";"0";"0";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/765/photo_4593542587g";"http://img.metaffiliation.com/c/79/26295/765/photo_4593542587g";"http://img.metaffiliation.com/c/79/26295/765/photo_4593542587g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542587V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl762_1.jpg"
"7526295142589";"G-String en dentelle noire avec biais satin";"BABL766";"9,45";"0,00";"9,45";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542589V3";"";"Baci";"0";"G-String en dentelle noire avec biais satin";"";"";"";"0";"0";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/767/photo_4593542589g";"http://img.metaffiliation.com/c/79/26295/767/photo_4593542589g";"http://img.metaffiliation.com/c/79/26295/767/photo_4593542589g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542589V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl766.jpg"
"7526295142591";"Shorty noir en dentelle";"BABL767";"11,55";"0,00";"11,55";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542591V3";"";"Baci";"0";"Shorty noir en dentelle";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/769/photo_4593542591g";"http://img.metaffiliation.com/c/79/26295/769/photo_4593542591g";"http://img.metaffiliation.com/c/79/26295/769/photo_4593542591g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542591V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl767.jpg"
"7526295142593";"G-String en diamant noir en tulle";"BABL770";"15,65";"0,00";"15,65";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542593V3";"";"Baci";"0";"G-String en diamant noir en tulle";"";"";"";"0";"0";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/771/photo_4593542593g";"http://img.metaffiliation.com/c/79/26295/771/photo_4593542593g";"http://img.metaffiliation.com/c/79/26295/771/photo_4593542593g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542593V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl770.jpg"
"7526295142595";"Culotte en microfibres et dentelle noire";"BABL772";"15,65";"0,00";"15,65";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542595V3";"";"Baci";"0";"Culotte en microfibres et dentelle noire";"";"";"";"0";"0";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/773/photo_4593542595g";"http://img.metaffiliation.com/c/79/26295/773/photo_4593542595g";"http://img.metaffiliation.com/c/79/26295/773/photo_4593542595g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542595V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl772.jpg"
"7526295142597";"Nuisette avec armatures en tulle blanche";"BABL786";"40,85";"0,00";"40,85";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542597V3";"";"Baci";"0";"Nuisette avec armatures en tulle blanche";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/775/photo_4593542597g";"http://img.metaffiliation.com/c/79/26295/775/photo_4593542597g";"http://img.metaffiliation.com/c/79/26295/775/photo_4593542597g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542597V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl786.jpg"
